
                                      ARENA Simulation Results
                                      Bryan - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Covid                                                       Run execution date : 5/25/2022
Analyst: ABCD                                                        Model revision date: 5/25/2022

Replication ended at time      : 240.0 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Identify Priority Group.TotalTimePerEntity  .35006     (Insuf)    .33333     .65512        164    
Initial Health Assessment.VACostPerEntity   .44703     (Insuf)    .13588     .77258        177    
Monitoring.VATimePerEntity                  16.035     (Insuf)    15.035     16.998         50    
Vaccination.VACostPerEntity                 9.2981     (Insuf)    5.4593     12.087         56    
Vaccination.TotalTimePerEntity              4.7498     (Insuf)    1.7951     20.451         56    
Identify Priority Group.VACostPerEntity     .49378     (Insuf)    .49378     .49378        164    
Initial Health Assessment.WaitCostPerEntit  .00000     (Insuf)    .00000     .00000        177    
Health Screening.WaitTimePerEntity          54.573     (Insuf)    .00000     125.82         72    
Health Screening.WaitCostPerEntity          .00000     (Insuf)    .00000     .00000         72    
Identify Priority Group.VATimePerEntity     .33333     (Insuf)    .33333     .33333        164    
QR Code Verification.WaitTimePerEntity      .58714     (Insuf)    .00000     14.613        140    
Vaccination.WaitTimePerEntity               1.6923     (Insuf)    .00000     17.199         56    
Emergency Process.TotalCostPerEntity        42.725     (Insuf)    42.725     42.725          1    
Health Screening.VACostPerEntity            9.2610     (Insuf)    1.5313     14.862         72    
Monitoring.TotalCostPerEntity               .00000     (Insuf)    .00000     .00000         50    
Identify Priority Group.WaitCostPerEntity   .00000     (Insuf)    .00000     .00000        164    
Initial Health Assessment.VATimePerEntity   .30177     (Insuf)    .09173     .52154        177    
QR Code Verification.WaitCostPerEntity      .00000     (Insuf)    .00000     .00000        140    
Identify Priority Group.TotalCostPerEntity  .49378     (Insuf)    .49378     .49378        164    
QR Code Verification.VATimePerEntity        1.2194     (Insuf)    .47364     2.4432        140    
Health Screening.TotalTimePerEntity         57.618     (Insuf)    .57641     128.51         72    
Health Screening.VATimePerEntity            3.0452     (Insuf)    .50353     4.8870         72    
On Site Registration.WaitTimePerEntity      22.575     (Insuf)    .00000     42.986         74    
Emergency Process.WaitTimePerEntity         .00000     (Insuf)    .00000     .00000          1    
Monitoring.VACostPerEntity                  .00000     (Insuf)    .00000     .00000         50    
Emergency Process.VATimePerEntity           14.049     (Insuf)    14.049     14.049          1    
Emergency Process.WaitCostPerEntity         .00000     (Insuf)    .00000     .00000          1    
Vaccination.VATimePerEntity                 3.0574     (Insuf)    1.7951     3.9745         56    
On Site Registration.TotalCostPerEntity     4.4496     (Insuf)    2.4139     6.5697         74    
Initial Health Assessment.TotalCostPerEnti  .44703     (Insuf)    .13588     .77258        177    
Initial Health Assessment.TotalTimePerEnti  .88918     (Insuf)    .09173     14.370        177    
Health Screening.TotalCostPerEntity         9.2610     (Insuf)    1.5313     14.862         72    
Initial Health Assessment.WaitTimePerEntit  .58741     (Insuf)    .00000     14.123        177    
On Site Registration.TotalTimePerEntity     25.578     (Insuf)    3.5316     46.029         74    
Monitoring.TotalTimePerEntity               16.035     (Insuf)    15.035     16.998         50    
