SIMAN Run Controller.

158.15211 Minutes>
                                      ARENA Simulation Results
                                      Bryan - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Covid                                                       Run execution date : 5/14/2022
Analyst: ABCD                                                        Model revision date: 5/14/2022

Replication ended at time      : 158.15211 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Identify Priority Group.TotalTimePerEntity  .34290     (Insuf)    .33333     .56854        106    
Initial Health Assessment.VACostPerEntity   .01028     (Insuf)    .00252     .01742        116    
Submission and Checking.VATimePerEntity     .40362     (Insuf)    .14889     .72266         55    
Monitoring.VATimePerEntity                  16.094     (Insuf)    15.023     16.989         72    
Submission and Checking.TotalCostPerEntity  .01345     (Insuf)    .00496     .02409         55    
Filling Out Form.VACostPerEntity            .00000     (Insuf)    .00000     .00000         55    
Vaccination.VACostPerEntity                 .24999     (Insuf)    .14960     .32559         81    
Vaccination.TotalTimePerEntity              3.5584     (Insuf)    1.7951     7.2576         81    
Identify Priority Group.VACostPerEntity     .00000     (Insuf)    .00000     .00000        106    
Initial Health Assessment.WaitCostPerEntit  .00000     (Insuf)    .00000     .00000        116    
Filling Out Form.TotalCostPerEntity         .00000     (Insuf)    .00000     .00000         55    
Health Screening.WaitTimePerEntity          5.6567     (Insuf)    .00000     15.141         99    
Health Screening.WaitCostPerEntity          .00000     (Insuf)    .00000     .00000         99    
Submission and Checking.WaitTimePerEntity   .00432     (Insuf)    .00000     .16198         55    
Taking Registration Form.VATimePerEntity    .15216     (Insuf)    .08861     .22699         57    
Submission and Checking.WaitCostPerEntity   .00000     (Insuf)    .00000     .00000         55    
Identify Priority Group.VATimePerEntity     .33333     (Insuf)    .33333     .33333        106    
QR Code Verification.WaitTimePerEntity      .62432     (Insuf)    .00000     3.5404        100    
Vaccination.WaitTimePerEntity               .55852     (Insuf)    .00000     3.9601         81    
Emergency Process.TotalCostPerEntity            --         --         --         --          0
Health Screening.VACostPerEntity            .20489     (Insuf)    .03343     .33117         99    
Monitoring.TotalCostPerEntity               .00000     (Insuf)    .00000     .00000         72    
Identify Priority Group.WaitCostPerEntity   .00000     (Insuf)    .00000     .00000        106    
Initial Health Assessment.VATimePerEntity   .30842     (Insuf)    .07548     .52254        116    
QR Code Verification.WaitCostPerEntity      .00000     (Insuf)    .00000     .00000        100    
Identify Priority Group.TotalCostPerEntity  .00000     (Insuf)    .00000     .00000        106    
QR Code Verification.VATimePerEntity        1.2431     (Insuf)    .45555     2.3991        100    
Health Screening.TotalTimePerEntity         8.7300     (Insuf)    .65514     19.991         99    
Health Screening.VATimePerEntity            3.0733     (Insuf)    .50139     4.9675         99    
Taking Registration Form.WaitCostPerEntity  .00000     (Insuf)    .00000     .00000         57    
Submission and Checking.TotalTimePerEntity  .40794     (Insuf)    .14889     .83263         55    
Emergency Process.WaitTimePerEntity             --         --         --         --          0
Taking Registration Form.TotalCostPerEntit  .00507     (Insuf)    .00295     .00757         57    
Monitoring.VACostPerEntity                  .00000     (Insuf)    .00000     .00000         72    
Emergency Process.VATimePerEntity               --         --         --         --          0
